lemma,clue,source
mi,Troisième note de la gamme,bliss-authored
mi,Note entre ré et fa,bliss-authored
or,Métal précieux jaune,bliss-authored
or,Ce dont on fait les lingots,bliss-authored
pi,Lettre grecque,bliss-authored
pi,"Rapport du cercle, 3,14",bliss-authored
CC,Copie conforme,bliss-authored
CC,"Centimètre cube, en abrégé",bliss-authored
nne,Finale de nombreux féminins,bliss-authored
nne,Double N suivi d'un E,bliss-authored
errer,Aller sans but,bliss-authored
errer,Vagabonder çà et là,bliss-authored
soi,Sa propre personne,bliss-authored
soi,Pronom réfléchi,bliss-authored
am,"Matin, en anglais",bliss-authored
am,Modulation d'amplitude (sigle),bliss-authored
an,Période de douze mois,bliss-authored
an,Tour complet du calendrier,bliss-authored
au,"Article contracté, à le",bliss-authored
au,Symbole chimique de l'or,bliss-authored
ps,Ajout en fin de lettre,bliss-authored
ps,Parti de gauche (sigle),bliss-authored
ail,Condiment à gousses,bliss-authored
ail,Plante potagère odorante,bliss-authored
sso,Identification unique (sigle informatique),bliss-authored
sso,Groupe de trois lettres,bliss-authored
crier,"Hurler, vociférer",bliss-authored
crier,Appeler très fort,bliss-authored
pouvoir,Avoir la capacité de,bliss-authored
pouvoir,"Autorité, puissance",bliss-authored
na,Symbole du sodium,bliss-authored
na,Exclamation de défi enfantin,bliss-authored
arc,Arme à flèches,bliss-authored
arc,Portion de courbe,bliss-authored
lier,Unir solidement,bliss-authored
lier,"Nouer, attacher",bliss-authored
li,Symbole du lithium,bliss-authored
li,Mesure de distance chinoise,bliss-authored
us,Coutumes établies,bliss-authored
us,Manières traditionnelles,bliss-authored
ode,Poème lyrique,bliss-authored
ode,Chant à la gloire d'un héros,bliss-authored
cas,"Situation, circonstance",bliss-authored
cas,Affaire soumise au juge,bliss-authored
car,Autobus de tourisme,bliss-authored
car,Véhicule scolaire,bliss-authored
mie,Partie molle du pain,bliss-authored
mie,"Bien-aimée, en poésie",bliss-authored
uc,Cœur d'un ordinateur (sigle),bliss-authored
uc,"Unité de compte, en abrégé",bliss-authored
ur,Cité antique de Sumer,bliss-authored
ur,Ville d'Abraham,bliss-authored
peser,Mesurer la masse,bliss-authored
peser,Avoir tel poids,bliss-authored
renaître,Revivre après la mort,bliss-authored
renaître,Reprendre vie,bliss-authored
élire,Choisir par un vote,bliss-authored
élire,Désigner par scrutin,bliss-authored
tirer,Faire feu,bliss-authored
tirer,Amener vers soi,bliss-authored
lis,Fleur royale de France,bliss-authored
lis,Emblème floral des Bourbons,bliss-authored
esp,"Espagne, en abrégé",bliss-authored
esp,Espérance de vie (abrév.),bliss-authored
ino,Fin de casino,bliss-authored
ino,Suffixe de diminutif italien,bliss-authored
ist,Infection transmissible (sigle),bliss-authored
ist,Suffixe de profession,bliss-authored
une,Première page du journal,bliss-authored
une,Article indéfini féminin,bliss-authored
ouïr,"Entendre, percevoir un son",bliss-authored
ouïr,"Écouter, jadis",bliss-authored
gel,Glace du petit matin,bliss-authored
gel,Substance semi-solide,bliss-authored
tuer,Ôter la vie,bliss-authored
tuer,Assassiner,bliss-authored
sac,Contenant à provisions,bliss-authored
sac,Bagage à main,bliss-authored
tic,Geste nerveux répété,bliss-authored
tic,Manie involontaire,bliss-authored
rare,Peu fréquent,bliss-authored
rare,Difficile à trouver,bliss-authored
il,Pronom masculin sujet,bliss-authored
il,Troisième personne du singulier,bliss-authored
in,À la mode (anglais),bliss-authored
in,"Branché, tendance",bliss-authored
no,"Non, en anglais",bliss-authored
no,"Numéro, en abrégé",bliss-authored
oc,"Langue du Midi, langue d'",bliss-authored
oc,Oui des troubadours,bliss-authored
élu,Choisi par le vote,bliss-authored
élu,Représentant du peuple,bliss-authored
pis,Mamelle de la vache,bliss-authored
pis,Encore plus mal,bliss-authored
âge,Nombre d'années vécues,bliss-authored
âge,Période de la vie,bliss-authored
las,"Fatigué, épuisé",bliss-authored
las,"Hélas, plaintif",bliss-authored
he,Symbole de l'hélium,bliss-authored
he,"Holà, interpellation",bliss-authored
tao,Voie spirituelle chinoise,bliss-authored
tao,Principe de Lao-tseu,bliss-authored
clé,Ouvre la serrure,bliss-authored
clé,Solution d'une énigme,bliss-authored
semer,Répandre des graines,bliss-authored
semer,Distancer un poursuivant,bliss-authored
puer,Sentir mauvais,bliss-authored
puer,Dégager une odeur infecte,bliss-authored
ma,Adjectif possessif féminin,bliss-authored
ma,"À moi, au féminin",bliss-authored
vi,Éditeur de texte Unix,bliss-authored
vi,"Six, en chiffres romains",bliss-authored
pas,Enjambée du marcheur,bliss-authored
pas,Adverbe de négation,bliss-authored
naître,Venir au monde,bliss-authored
naître,Commencer à exister,bliss-authored
DI,Cinq cent un en chiffres romains,bliss-authored
DI,"Dimanche, en abrégé",bliss-authored
yen,Monnaie du Japon,bliss-authored
yen,Devise nippone,bliss-authored
son,Bruit perçu par l'oreille,bliss-authored
son,Enveloppe du grain de blé,bliss-authored
spa,Station thermale (anglais),bliss-authored
spa,Ville d'eaux belge,bliss-authored
be,"Verbe être, en anglais",bliss-authored
be,"Belgique, sur Internet",bliss-authored
sn,Symbole de l'étain,bliss-authored
sn,Sénégal (code pays),bliss-authored
nid,Abri des oiseaux,bliss-authored
nid,Berceau des œufs,bliss-authored
taire,Ne rien dire,bliss-authored
taire,Passer sous silence,bliss-authored
gérer,"Administrer, diriger",bliss-authored
gérer,S'occuper des affaires,bliss-authored
cor,Instrument à vent,bliss-authored
cor,Durillon du pied,bliss-authored
tué,Mis à mort,bliss-authored
tué,Victime d'un meurtre,bliss-authored
aisé,Sans difficulté,bliss-authored
aisé,À l'abri du besoin,bliss-authored
fe,Symbole du fer,bliss-authored
fe,"Métal de l'hémoglobine, symbole",bliss-authored
rester,Demeurer sur place,bliss-authored
rester,Ne pas partir,bliss-authored
al,Symbole de l'aluminium,bliss-authored
al,Suffixe d'adjectif,bliss-authored
la,Article féminin singulier,bliss-authored
la,Note après le sol,bliss-authored
nu,Sans vêtements,bliss-authored
nu,Dépouillé de tout,bliss-authored
so,"Donc, en anglais",bliss-authored
so,"Ainsi, mot anglais",bliss-authored
âtre,Foyer de la cheminée,bliss-authored
âtre,Où brûle la bûche,bliss-authored
onu,Instance internationale (sigle),bliss-authored
onu,Organisation basée à New York (sigle),bliss-authored
oui,Réponse affirmative,bliss-authored
oui,Contraire de non,bliss-authored
trier,"Classer, séparer",bliss-authored
trier,Répartir par catégories,bliss-authored
voir,Distinguer par les yeux,bliss-authored
voir,Constater de ses yeux,bliss-authored
nia,Refusa d'admettre,bliss-authored
nia,Démentit énergiquement,bliss-authored
aimer,Éprouver de l'affection,bliss-authored
aimer,Chérir quelqu'un,bliss-authored
gré,Bon vouloir,bliss-authored
gré,"Guise, volonté",bliss-authored
cap,Pointe de terre dans la mer,bliss-authored
cap,Direction du navire,bliss-authored
raire,"Crier, pour le cerf",bliss-authored
raire,"Bramer, cri du cervidé",bliss-authored
vis,Tige filetée,bliss-authored
vis,Assemble deux pièces,bliss-authored
fer,Métal de la forge,bliss-authored
fer,Ce qu'on bat chaud,bliss-authored
isis,Déesse égyptienne,bliss-authored
isis,Épouse d'Osiris,bliss-authored
rtt,Réduction du temps de travail,bliss-authored
rtt,Jour de récupération du salarié,bliss-authored
tâter,Palper de la main,bliss-authored
tâter,Toucher pour évaluer,bliss-authored
hi,Rire dans un écrit,bliss-authored
hi,Onomatopée de l'hilarité,bliss-authored
pr,Titre universitaire abrégé,bliss-authored
pr,Devant le nom d'un enseignant,bliss-authored
ru,Petit cours d'eau,bliss-authored
ru,Filet d'eau qui coule,bliss-authored
scier,Couper le bois,bliss-authored
scier,Trancher à la lame dentée,bliss-authored
nos,Adjectif possessif pluriel,bliss-authored
nos,"À nous, au pluriel",bliss-authored
saper,Miner par la base,bliss-authored
saper,"Habiller, familièrement",bliss-authored
ita,"Pays de la botte, en abrégé",bliss-authored
ita,Code olympique transalpin,bliss-authored
prier,Implorer le ciel,bliss-authored
prier,Supplier avec ferveur,bliss-authored
lit,Meuble pour dormir,bliss-authored
lit,Où coule la rivière,bliss-authored
eh,Exclamation de surprise,bliss-authored
eh,Interjection d'interpellation,bliss-authored
mat,Sans éclat,bliss-authored
mat,Échec final au roi,bliss-authored
xe,Symbole du gaz xénon,bliss-authored
xe,Élément de la famille des gaz nobles,bliss-authored
ego,Le moi profond,bliss-authored
ego,Amour de soi,bliss-authored
éva,Prénom féminin,bliss-authored
éva,"Longoria, l'actrice",bliss-authored
oms,Organisation mondiale de la santé,bliss-authored
oms,"Agence de l'ONU, en sigle",bliss-authored
pan,Côté d'un mur,bliss-authored
pan,Bruit d'une détonation,bliss-authored
sire,Titre donné au roi,bliss-authored
sire,Un triste... individu,bliss-authored
erre,Vitesse résiduelle d'un bateau,bliss-authored
erre,Lancée d'un navire,bliss-authored
rio,"Fleuve, en espagnol",bliss-authored
rio,Ville brésilienne du Carnaval,bliss-authored
renier,Désavouer,bliss-authored
renier,Abjurer sa foi,bliss-authored
bi,Préfixe signifiant deux,bliss-authored
bi,"Deux fois, en préfixe",bliss-authored
orner,Décorer,bliss-authored
orner,Embellir,bliss-authored
pin,Arbre résineux,bliss-authored
pin,Conifère des Landes,bliss-authored
zen,Calme et serein,bliss-authored
zen,Bouddhisme japonais,bliss-authored
bts,Diplôme après le bac,bliss-authored
bts,Groupe de K-pop coréen,bliss-authored
tenir,Garder en main,bliss-authored
tenir,"Résister, durer",bliss-authored
id,"Idem, en abrégé",bliss-authored
id,Le ça freudien,bliss-authored
IV,Quatre en chiffres romains,bliss-authored
IV,"Après le trois, en romain",bliss-authored
to,"À, en anglais",bliss-authored
to,"Vers, mot anglais",bliss-authored
unir,Assembler,bliss-authored
unir,Joindre en un tout,bliss-authored
oso,"Ours, en espagnol",bliss-authored
oso,Terminaison de mots savants,bliss-authored
rêver,Songer en dormant,bliss-authored
rêver,"Imaginer, désirer",bliss-authored
ave,Salutation latine,bliss-authored
ave,Prière à Marie,bliss-authored
blé,Céréale à pain,bliss-authored
blé,"Argent, familièrement",bliss-authored
agréer,Accepter avec faveur,bliss-authored
agréer,Recevoir favorablement,bliss-authored
cru,Vin d'un terroir,bliss-authored
cru,Qui n'est pas cuit,bliss-authored
feu,Source de flammes,bliss-authored
feu,"Défunt, décédé",bliss-authored
pic,Sommet montagneux,bliss-authored
pic,Oiseau grimpeur,bliss-authored
anse,Poignée d'un panier,bliss-authored
anse,Petite baie marine,bliss-authored
bec,Bouche de l'oiseau,bliss-authored
bec,Brûleur à gaz,bliss-authored
can,"Peut, en anglais",bliss-authored
can,"Boîte de conserve, en anglais",bliss-authored
av,"Avenue, en abrégé",bliss-authored
av,"Avant, en abrégé",bliss-authored
fi,Marque de dédain,bliss-authored
fi,Interjection de mépris,bliss-authored
Mme,"Madame, en abrégé",bliss-authored
Mme,Titre d'une femme mariée,bliss-authored
vs,"Contre, en abrégé",bliss-authored
vs,"Opposé à, en latin",bliss-authored
emu,Oiseau coureur australien,bliss-authored
emu,Cousin de l'autruche,bliss-authored
ruer,Lancer les pattes arrière,bliss-authored
ruer,Se précipiter avec fougue,bliss-authored
non,Marque de refus,bliss-authored
non,Le contraire de oui,bliss-authored
émouvoir,Toucher le cœur,bliss-authored
émouvoir,Attendrir,bliss-authored
caser,Ranger à sa place,bliss-authored
caser,"Placer, marier",bliss-authored
réel,Qui existe vraiment,bliss-authored
réel,Concret et effectif,bliss-authored
épée,Arme blanche,bliss-authored
épée,Lame de duel,bliss-authored
sortir,Quitter un lieu,bliss-authored
sortir,Aller dehors,bliss-authored
asseoir,Mettre sur un siège,bliss-authored
asseoir,Établir solidement,bliss-authored
ski,Sport de glisse,bliss-authored
ski,Planche pour la neige,bliss-authored
dam,Préjudice subi,bliss-authored
dam,"Dommage, vieux mot",bliss-authored
co,Préfixe signifiant avec,bliss-authored
co,Symbole du cobalt,bliss-authored
ares,Dieu grec de la guerre,bliss-authored
ares,Unités de surface agraire,bliss-authored
MC,Maître de cérémonie,bliss-authored
MC,Animateur de rap,bliss-authored
tu,Pronom de la deuxième personne,bliss-authored
tu,Gardé secret,bliss-authored
vii,Sept en chiffres romains,bliss-authored
vii,"Après le six, chez les Romains",bliss-authored
tare,Poids à déduire,bliss-authored
tare,Défaut héréditaire,bliss-authored
par,Au moyen de,bliss-authored
par,Score de référence au golf,bliss-authored
amer,D'un goût âpre,bliss-authored
amer,Repère de navigation côtière,bliss-authored
lia,Noua ensemble,bliss-authored
lia,Rattacha,bliss-authored
lin,Plante à fibres textiles,bliss-authored
lin,Toile fine,bliss-authored
on,Pronom indéfini,bliss-authored
on,"Quelqu'un, tout le monde",bliss-authored
nef,Vaisseau d'église,bliss-authored
nef,Partie centrale d'une cathédrale,bliss-authored
ont,Possèdent,bliss-authored
ont,Verbe avoir au pluriel,bliss-authored
bis,Une seconde fois,bliss-authored
bis,Réclamé au concert,bliss-authored
omettre,Oublier de mentionner,bliss-authored
omettre,Passer sous silence,bliss-authored
ton,Hauteur d'un son,bliss-authored
ton,Adjectif possessif,bliss-authored
réunir,Rassembler,bliss-authored
réunir,Grouper en un lieu,bliss-authored
obéir,Se soumettre,bliss-authored
obéir,Suivre les ordres,bliss-authored
op,Art optique,bliss-authored
op,"Opération, en abrégé",bliss-authored
ou,Marque un choix,bliss-authored
ou,L'un ou l'autre,bliss-authored
un,Le premier nombre,bliss-authored
un,Article indéfini,bliss-authored
vin,Boisson de Bacchus,bliss-authored
vin,Jus de raisin fermenté,bliss-authored
mener,Conduire,bliss-authored
mener,"Diriger, guider",bliss-authored
rab,"Portion en plus, familièrement",bliss-authored
rab,"Rallonge, en argot",bliss-authored
tête,Sommet du corps,bliss-authored
tête,"Chef, meneur",bliss-authored
tôt,De bonne heure,bliss-authored
tôt,Avant l'heure prévue,bliss-authored
cu,Symbole chimique du cuivre,bliss-authored
cu,"Métal rouge, en deux lettres",bliss-authored
dr,"Docteur, en abrégé",bliss-authored
dr,Titre d'un médecin,bliss-authored
mère,Maman,bliss-authored
mère,Femme qui a enfanté,bliss-authored
ono,"Direction, entre ouest et nord",bliss-authored
ono,Point de la rose des vents,bliss-authored
pur,Sans mélange,bliss-authored
pur,"Immaculé, innocent",bliss-authored
roc,Masse de pierre dure,bliss-authored
roc,Solide comme la pierre,bliss-authored
cil,Poil de la paupière,bliss-authored
cil,Bordure de l'œil,bliss-authored
aviser,Informer quelqu'un,bliss-authored
aviser,Se rendre compte,bliss-authored
loi,Règle votée,bliss-authored
loi,Texte du législateur,bliss-authored
séné,Plante laxative,bliss-authored
séné,Arbuste purgatif,bliss-authored
van,Panier à vanner le grain,bliss-authored
van,Fourgon pour chevaux,bliss-authored
ena,Grande école d'administration,bliss-authored
ena,Pépinière de hauts fonctionnaires,bliss-authored
star,Vedette,bliss-authored
star,Célébrité en vue,bliss-authored
step,Gymnastique sur marche,bliss-authored
step,Danse rythmée au claquement,bliss-authored
sol,Terre sous nos pieds,bliss-authored
sol,Note de musique,bliss-authored
tau,Lettre grecque,bliss-authored
tau,Dix-neuvième de l'alphabet grec,bliss-authored
raie,Poisson plat,bliss-authored
raie,"Trait, ligne",bliss-authored
vêtir,Habiller,bliss-authored
vêtir,Mettre un habit à,bliss-authored
remettre,Confier en main propre,bliss-authored
remettre,Reporter à plus tard,bliss-authored
sein,Mamelle,bliss-authored
sein,Poitrine féminine,bliss-authored
opter,Choisir,bliss-authored
opter,Faire un choix,bliss-authored
aire,Surface mesurée,bliss-authored
aire,Nid d'aigle,bliss-authored
cm,Centimètre en abrégé,bliss-authored
cm,"Unité de longueur, en bref",bliss-authored
ut,Ancien nom du do,bliss-authored
ut,Note de musique,bliss-authored
imiter,Copier,bliss-authored
imiter,Reproduire un geste,bliss-authored
cerner,Encercler,bliss-authored
cerner,Bien saisir un sujet,bliss-authored
pli,Marque de repassage,bliss-authored
pli,Enveloppe postale,bliss-authored
périr,Mourir,bliss-authored
périr,Trouver la mort,bliss-authored
rendre,Restituer,bliss-authored
rendre,Vomir,bliss-authored
ramer,Manier l'aviron,bliss-authored
ramer,"Peiner, galérer",bliss-authored
rot,Renvoi d'estomac,bliss-authored
rot,Éructation,bliss-authored
rimer,Faire des vers,bliss-authored
rimer,Finir par le même son,bliss-authored
top,Signal bref,bliss-authored
top,"Sommet, en anglais",bliss-authored
ag,Symbole de l'argent,bliss-authored
ag,"Argent, en chimie",bliss-authored
da,Particule d'affirmation,bliss-authored
da,"Suit ""oui"" jadis",bliss-authored
je,Première personne,bliss-authored
je,Pronom du locuteur,bliss-authored
xi,Lettre grecque,bliss-authored
xi,Consonne de l'alphabet grec,bliss-authored
relier,Connecter,bliss-authored
relier,Assembler un livre,bliss-authored
sale,Malpropre,bliss-authored
sale,Crasseux,bliss-authored
bas,Situé vers le sol,bliss-authored
bas,Fin vêtement de jambe,bliss-authored
deu,"Dû, en vieux français",bliss-authored
deu,Ancien participe de devoir,bliss-authored
cl,Centilitre en abrégé,bliss-authored
cl,"Mesure de volume, en bref",bliss-authored
mr,Monsieur en abrégé,bliss-authored
mr,"Titre masculin, en bref",bliss-authored
animer,Donner vie,bliss-authored
animer,Présenter une émission,bliss-authored
gag,Effet comique,bliss-authored
gag,Blague visuelle,bliss-authored
noter,Inscrire pour mémoire,bliss-authored
noter,Donner une appréciation chiffrée,bliss-authored
rater,Échouer,bliss-authored
rater,Manquer sa cible,bliss-authored
ériger,"Dresser, bâtir",bliss-authored
ériger,Élever un monument,bliss-authored
site,"Lieu, endroit",bliss-authored
site,Adresse internet,bliss-authored
mouvoir,Mettre en mouvement,bliss-authored
mouvoir,Faire bouger,bliss-authored
agir,Passer à l'action,bliss-authored
agir,Entreprendre,bliss-authored
irriter,"Agacer, énerver",bliss-authored
irriter,Enflammer l'épiderme,bliss-authored
toi,Deuxième personne,bliss-authored
toi,"Pronom, ce n'est pas moi",bliss-authored
aérien,Du ciel,bliss-authored
aérien,"Léger, gracieux",bliss-authored
orée,Bord du bois,bliss-authored
orée,Lisière,bliss-authored
DC,"Courant continu, en sigle",bliss-authored
DC,"Capitale américaine, en sigle",bliss-authored
fa,Note de musique,bliss-authored
fa,Quatrième degré de la gamme,bliss-authored
mas,Ferme provençale,bliss-authored
mas,Maison du Midi,bliss-authored
tv,"Petit écran, en sigle",bliss-authored
tv,"Poste de télévision, en bref",bliss-authored
amener,Conduire vers,bliss-authored
amener,Faire venir,bliss-authored
saisir,Attraper,bliss-authored
saisir,Comprendre vite,bliss-authored
retenir,Garder en mémoire,bliss-authored
retenir,Empêcher de partir,bliss-authored
régir,Gouverner,bliss-authored
régir,Diriger selon des lois,bliss-authored
test,"Épreuve, examen",bliss-authored
test,Essai de vérification,bliss-authored
rus,Petits ruisseaux,bliss-authored
rus,Minces cours d'eau,bliss-authored
jpn,"Japon, en abrégé",bliss-authored
jpn,Code du pays du Soleil-Levant,bliss-authored
bar,Débit de boissons,bliss-authored
bar,Poisson de mer,bliss-authored
cp,"Cours préparatoire, en sigle",bliss-authored
cp,"Code postal, en abrégé",bliss-authored
ol,"Club de foot lyonnais, en sigle",bliss-authored
ol,Terminaison d'un alcool,bliss-authored
