lemma_a,lemma_b
ASSIEGEANT,ASSIEGER
ASSIMILANT,ASSIMILER
ASSOIR,ASSEOIR
ASSOMBRISSANT,ASSOMBRIR
ASSOMMANT,ASSOMMER
ASSONANT,ASSONER
ASSOUPISSANT,ASSOUPIR
ASSOURDISSANT,ASSOURDIR
ASSUJETTISSANT,ASSUJETTIR
ASTREIGNANT,ASTREINDRE
ATROPHIANT,ATROPHIER
ATTACHANT,ATTACHER
ATTAQUANT,ATTAQUER
ATTENDRISSANT,ATTENDRIR
ATTENUANT,ATTENUER
ATTERRANT,ATTERRER
ATTIRANT,ATTIRER
ATTRISTANT,ATTRISTER
AVALANT,AVALER
AVEUGLANT,AVEUGLER
AVILISSANT,AVILIR
AVOISINANT,AVOISINER
BALBUTIANT,BALBUTIER
BALLANT,BALLER
BANDANT,BANDER
BARAQUE,BARAQUER
BARBANT,BARBER
BASANE,BASANER
BASCULANT,BASCULER
BASSINANT,BASSINER
BATELE,BATELER
BATIFOLANT,BATIFOLER
BATTANT,BATTRE
BAVANT,BAVER
BAVOCHE,BAVOCHER
BEANT,BEER
BEATIFIANT,BEATIFIER
BEDONNANT,BEDONNER
BEGAYANT,BEGAYER
BELANT,BELER
BENISSANT,BENIR
BERCANT,BERCER
BETIFIANT,BETIFIER
BEUGLANT,BEUGLER
BIDONNANT,BIDONNER
BIFURQUE,BIFURQUER
BIOLOGISANT,BIOLOGISER
BLANCHISSANT,BLANCHIR
BLEMISSANT,BLEMIR
BLESSANT,BLESSER
BLOQUANT,BLOQUER
BLOUSANT,BLOUSER
BLUFFANT,BLUFFER
BOITILLANT,BOITILLER
BOMBANT,BOMBER
BONDISSANT,BONDIR
BONIFIANT,BONIFIER
BORDANT,BORDER
BOUFFANT,BOUFFER
BOUILLANT,BOUILLIR
BOUILLONNANT,BOUILLONNER
BOULEVERSANT,BOULEVERSER
BOURDONNANT,BOURDONNER
BOURDONNE,BOURDONNER
BOURGEONNANT,BOURGEONNER
BOUTANT,BOUTER
BRAILLANT,BRAILLER
BRANLANT,BRANLER
BREDOUILLANT,BREDOUILLER
BRILLANT,BRILLER
BRINGUEBALANT,BRINGUEBALER
BRINQUEBALANT,BRINQUEBALER
BRISANT,BRISER
BROCHANT,BROCHER
BRONZANT,BRONZER
BROUILLASSE,BROUILLASSER
BRUINE,BRUINER
BRUIR,BRUIRE
BRUISSANT,BRUIR
BRUISSANT,BRUIRE
BRUISSANT,BRUISSER
BRULANT,BRULER
BRUNISSANT,BRUNIR
BULLE,BULLER
BUTINANT,BUTINER
CADRANT,CADRER
CAHOTANT,CAHOTER
CALMANT,CALMER
CAMOUFLANT,CAMOUFLER
CANULANT,CANULER
CAPITALISANT,CAPITALISER
CAPITULE,CAPITULER
CAPTANT,CAPTER
CAPTIVANT,CAPTIVER
CAQUETANT,CAQUETER
CARACTERISANT,CARACTERISER
CARBURANT,CARBURER
CARESSANT,CARESSER
CARILLONNANT,CARILLONNER
CARRE,CARRER
CASQUANT,CASQUER
CASSANT,CASSER
CATEGORISANT,CATEGORISER
CATHOLICISANT,CATHOLICISER
CAUSANT,CAUSER
CAUTERISANT,CAUTERISER
CEDANT,CEDER
CELEBRANT,CELEBRER
CERTIFIANT,CERTIFIER
CESSANT,CESSER
CHAGRINANT,CHAGRINER
CHALOUPE,CHALOUPER
CHANCELANT,CHANCELER
CHANGEANT,CHANGER
CHANTANT,CHANTER
CHARMANT,CHARMER
CHATOYANT,CHATOYER
CHAUDRONNE,CHAUDRONNER
CHAUFFANT,CHAUFFER
CHAUSSANT,CHAUSSER
CHEVAUCHANT,CHEVAUCHER
CHEVROTANT,CHEVROTER
CHIANT,CHIER
CHOQUANT,CHOQUER
CHUCHOTANT,CHUCHOTER
CHUINTANT,CHUINTER
CICATRISANT,CICATRISER
CINGLANT,CINGLER
CIRCULANT,CIRCULER
CLAIRONNANT,CLAIRONNER
CLAPOTANT,CLAPOTER
CLAQUANT,CLAQUER
CLASSANT,CLASSER
CLIGNOTANT,CLIGNOTER
CLIMATISANT,CLIMATISER
CLIQUETANT,CLIQUETER
CLIVANT,CLIVER
CLOISONNANT,CLOISONNER
COAGULANT,COAGULER
COASSANT,COASSER
CODANT,CODER
COENCADRANT,COENCADRER
COEXISTANT,COEXISTER
COHABITANT,COHABITER
COIFFANT,COIFFER
COKEFIANT,COKEFIER
COLLANT,COLLER
COLORANT,COLORER
COMBATTANT,COMBATTRE
COMBINANT,COMBINER
COMMENCANT,COMMENCER
COMMERCANT,COMMERCER
COMMETTANT,COMMETTRE
COMPARANT,COMPARER
COMPARANT,COMPAROIR
COMPATISSANT,COMPATIR
COMPLAISANT,COMPLAIRE
COMPOSANT,COMPOSER
COMPROMETTANT,COMPROMETTRE
COMPTANT,COMPTER
CONCEDANT,CONCEDER
CONCERNE,CONCERNER
CONCERTANT,CONCERTER
CONCILIANT,CONCILIER
CONCLUANT,CONCLURE
CONCORDANT,CONCORDER
CONCOURANT,CONCOURIR
CONDESCENDANT,CONDESCENDRE
CONFESSANT,CONFESSER
CONFIANT,CONFIER
CONFONDANT,CONFONDRE
CONQUERANT,CONQUERIR
CONSENTANT,CONSENTIR
CONSISTANT,CONSISTER
CONSOLANT,CONSOLER
CONSONANT,CONSONER
CONSTERNANT,CONSTERNER
CONSTITUANT,CONSTITUER
CONSULTANT,CONSULTER
CONTAMINANT,CONTAMINER
CONTENANT,CONTENIR
CONTRACTANT,CONTRACTER
CONTRAIGNANT,CONTRAINDRE
CONTRARIANT,CONTRARIER
CONTRASTANT,CONTRASTER
CONTREDISANT,CONTREDIRE
CONTREFAISANT,CONTREFAIRE
CONTREPERCANT,CONTREPERCER
COOPERANT,COOPERER
COPARTAGEANT,COPARTAGER
CORDE,CORDER
CORRESPONDANT,CORRESPONDRE
CORROBORANT,CORROBORER
CORRODANT,CORRODER
COTISANT,COTISER
COUCHANT,COUCHER
COUINANT,COUINER
COULANT,COULER
COULISSANT,COULISSER
COUPANT,COUPER
COURANT,COURIR
COURTISE,COURTISER
COUTANT,COUTER
COUVRANT,COUVRIR
CRAQUANT,CRAQUER
CRAWLE,CRAWLER
CREME,CREMER
CRENELE,CRENELER
CREPITANT,CREPITER
CREVANT,CREVER
CRIANT,CRIER
CRISPANT,CRISPER
CRISSANT,CRISSER
CRISTALLISANT,CRISTALLISER
CROASSANT,CROASSER
CROISSANT,CROITRE
CROLE,CROLER
CROLLE,CROLLER
CROQUANT,CROQUER
CROULANT,CROULER
CROUPI,CROUPIR
CROUPISSANT,CROUPIR
CROUSTILLANT,CROUSTILLER
CROYANT,CROIRE
CRU,CROIRE
CRUCIFIANT,CRUCIFIER
CUISANT,CUIRE
CULMINANT,CULMINER
CULPABILISANT,CULPABILISER
DANDINANT,DANDINER
DANSANT,DANSER
DEBILITANT,DEBILITER
DEBORDANT,DEBORDER
DEBUTANT,DEBUTER
DECALCIFIANT,DECALCIFIER
DECAPANT,DECAPER
DECELERE,DECELERER
DECEREBRANT,DECEREBRER
DECEREBRE,DECEREBRER
DECERVELE,DECERVELER
DECEVANT,DECEVOIR
DECHEVELANT,DECHEVELER
DECHIRANT,DECHIRER
DECLARANT,DECLARER
DECLINANT,DECLINER
DECOLORANT,DECOLORER
DECOMPENSE,DECOMPENSER
DECONCERTANT,DECONCERTER
DECONNANT,DECONNER
DECONSTRUISANT,DECONSTRUIRE
DECONTRACTANT,DECONTRACTER
DECOURAGEANT,DECOURAGER
DECROISSANT,DECROITRE
DEFAILLANT,DEFAILLIR
DEFERLANT,DEFERLER
DEFIANT,DEFIER
DEFILANT,DEFILER
DEFINISSANT,DEFINIR
DEFLAGRANT,DEFLAGRER
DEFOLIANT,DEFOLIER
DEFORMANT,DEFORMER
DEGIVRANT,DEGIVRER
DEGOULINANT,DEGOULINER
DEGOURDISSANT,DEGOURDIR
DEGOUTANT,DEGOUTER
DEGRADANT,DEGRADER
DEGRAISSANT,DEGRAISSER
DELASSANT,DELASSER
DELIBERANT,DELIBERER
DELIRANT,DELIRER
DELOCALISANT,DELOCALISER
DELURE,DELURER
DEMAQUILLANT,DEMAQUILLER
DEMELANT,DEMELER
DEMEURE,DEMEURER
DEMORALISANT,DEMORALISER
DEMOTIVANT,DEMOTIVER
DEMOULANT,DEMOULER
DEMYSTIFIANT,DEMYSTIFIER
DENATURANT,DENATURER
DENIGRANT,DENIGRER
DEPASSANT,DEPASSER
DEPAYSANT,DEPAYSER
DEPENALISANT,DEPENALISER
DEPENDANT,DEPENDRE
DEPLAISANT,DEPLAIRE
DEPLIANT,DEPLIER
DEPOLLUANT,DEPOLLUER
DEPOUSSIERANT,DEPOUSSIERER
DEPRAVANT,DEPRAVER
DEPRIMANT,DEPRIMER
DERANGEANT,DERANGER
DERIVANT,DERIVER
DEROULANT,DEROULER
DEROUTANT,DEROUTER
DESAGREGEANT,DESAGREGER
DESALTERANT,DESALTERER
DESARCONNANT,DESARCONNER
DESARMANT,DESARMER
DESCENDANT,DESCENDRE
DESEQUILIBRANT,DESEQUILIBRER
DESERTIFIANT,DESERTIFIER
DESESPERANT,DESESPERER
DESHERBANT,DESHERBER
DESHONORANT,DESHONORER
DESHUMANISANT,DESHUMANISER
DESHYDRATANT,DESHYDRATER
DESINFECTANT,DESINFECTER
DESINHIBANT,DESINHIBER
DESINSCRIT,DESINSCRIRE
DESIRANT,DESIRER
DESOBEISSANT,DESOBEIR
DESOBLIGEANT,DESOBLIGER
DESOCIALISANT,DESOCIALISER
DESODORISANT,DESODORISER
DESOLANT,DESOLER
DESOPILANT,DESOPILER
DESOXYDANT,DESOXYDER
DESSECHANT,DESSECHER
DESTABILISANT,DESTABILISER
DESTITUANT,DESTITUER
DESTRESSANT,DESTRESSER
DESTRUCTURANT,DESTRUCTURER
DETACHANT,DETACHER
DETAILLANT,DETAILLER
DETARTRANT,DETARTRER
DETERMINANT,DETERMINER
DETONANT,DETONER
DETOXIFIANT,DETOXIFIER
DEVALORISANT,DEVALORISER
DEVELOPPANT,DEVELOPPER
DEVIANT,DEVIER
DEVORANT,DEVORER
DIABOLISANT,DIABOLISER
DIFFAMANT,DIFFAMER
DILATANT,DILATER
DILUANT,DILUER
DIPLOMANT,DIPLOMER
DIRIGEANT,DIRIGER
DIRIMANT,DIRIMER
DISCORDANT,DISCORDER
DISCRIMINANT,DISCRIMINER
DISPERSANT,DISPERSER
DISQUALIFIANT,DISQUALIFIER
DISSOLVANT,DISSOUDRE
DISSONANT,DISSONER
DISTRAYANT,DISTRAIRE
DIVERTISSANT,DIVERTIR
DIVORCE,DIVORCER
DODELINANT,DODELINER
DOMINANT,DOMINER
DOPANT,DOPER
DORMANT,DORMIR
DRAINANT,DRAINER
DURCISSANT,DURCIR
DUS,DEVOIR
DYNAMISANT,DYNAMISER
EBLOUISSANT,EBLOUIR
EBOURIFFANT,EBOURIFFER
ECHAUFFANT,ECHAUFFER
ECHAUFFE,ECHAUFFER
ECHEANT,ECHOIR
ECLABOUSSANT,ECLABOUSSER
ECLAIRANT,ECLAIRER
ECLATANT,ECLATER
ECLOPE,ECLOPER
ECRASANT,ECRASER
ECRIVAILLE,ECRIVAILLER
ECUMANT,ECUMER
ECŒURANT,ECŒURER
EDIFIANT,EDIFIER
EDULCORANT,EDULCORER
EFFARANT,EFFARER
EFFEMINE,EFFEMINER
EFFLEURI,EFFLEURIR
EFFRAYANT,EFFRAYER
EGAYANT,EGAYER
EGRISE,EGRISER
ELECTRISANT,ELECTRISER
EMANE,EMANER
EMBALLANT,EMBALLER
EMBARRASSANT,EMBARRASSER
EMBARRASSE,EMBARRASSER
EMBETANT,EMBETER
EMBRIGADE,EMBRIGADER
EMBU,EMBOIRE
EMBUSQUE,EMBUSQUER
EMERGE,EMERGER
EMIGRANT,EMIGRER
EMMANCHE,EMMANCHER
EMMERDANT,EMMERDER
EMOTIONNANT,EMOTIONNER
EMOUSTILLANT,EMOUSTILLER
EMOUVANT,EMOUVOIR
EMPAFFE,EMPAFFER
EMPOIGNANT,EMPOIGNER
EMPOISONNANT,EMPOISONNER
EMPOTE,EMPOTER
EMULSIFIANT,EMULSIFIER
ENCADRANT,ENCADRER
ENCAISSANT,ENCAISSER
ENCOMBRANT,ENCOMBRER
ENCOURAGEANT,ENCOURAGER
ENCROUTANT,ENCROUTER
ENDORMANT,ENDORMIR
ENDURANT,ENDURER
ENERVANT,ENERVER
ENGAGEANT,ENGAGER
ENGAINANT,ENGAINER
ENGLOBANT,ENGLOBER
ENIVRANT,ENIVRER
ENLAIDISSANT,ENLAIDIR
ENLEVANT,ENLEVER
ENNUYANT,ENNUYER
ENQUETE,ENQUETER
ENQUIQUINANT,ENQUIQUINER
ENRAGEANT,ENRAGER
ENRICHISSANT,ENRICHIR
ENSEIGNANT,ENSEIGNER
ENSORCELANT,ENSORCELER
ENTETANT,ENTETER
ENTHOUSIASMANT,ENTHOUSIASMER
ENTRAINANT,ENTRAINER
ENTRANT,ENTRER
ENTREPRENANT,ENTREPRENDRE
ENVAHISSANT,ENVAHIR
ENVELOPPANT,ENVELOPPER
ENVIRONNANT,ENVIRONNER
ENVOUTANT,ENVOUTER
EPAISSISSANT,EPAISSIR
EPANOUISSANT,EPANOUIR
EPARGNANT,EPARGNER
EPATANT,EPATER
EPERDU,EPERDRE
EPOUSTOUFLANT,EPOUSTOUFLER
EPROUVANT,EPROUVER
EPUISANT,EPUISER
EQUILIBRANT,EQUILIBRER
EREINTANT,EREINTER
ERGOTE,ERGOTER
ERRANT,ERRER
ESQUINTANT,ESQUINTER
ESSENTIALISANT,ESSENTIALISER
ESSORANT,ESSORER
ESTHETISANT,ESTHETISER
ESTIVANT,ESTIVER
ETINCELANT,ETINCELER
ETONNANT,ETONNER
ETOUFFANT,ETOUFFER
ETOURDISSANT,ETOURDIR
ETUDIANT,ETUDIER
EUPHORISANT,EUPHORISER
EVACUANT,EVACUER
EVANOUISSANT,EVANOUIR
EVENTE,EVENTER
EVOLUE,EVOLUER
EXALTANT,EXALTER
EXASPERANT,EXASPERER
EXCEDANT,EXCEDER
EXCIPE,EXCIPER
EXCITANT,EXCITER
EXCLUANT,EXCLURE
EXECUTANT,EXECUTER
EXERCANT,EXERCER
EXFOLIANT,EXFOLIER
EXIGEANT,EXIGER
EXISTANT,EXISTER
EXPECTORANT,EXPECTORER
EXPIRANT,EXPIRER
EXPLOITANT,EXPLOITER
EXPLOSE,EXPLOSER
EXPOSANT,EXPOSER
EXPROPRIANT,EXPROPRIER
EXTENUANT,EXTENUER
EXTENUE,EXTENUER
EXULTANT,EXULTER
FAIBLISSANT,FAIBLIR
FAILLI,FAILLIR
FANATISANT,FANATISER
FASCINANT,FASCINER
FASCISANT,FASCISER
FAVORISANT,FAVORISER
FECONDANT,FECONDER
FEIGNANT,FEINDRE
FEMINISANT,FEMINISER
FENDANT,FENDRE
FERMANT,FERMER
FERMENTANT,FERMENTER
FERMENTE,FERMENTER
FERTILISANT,FERTILISER
FEUTRANT,FEUTRER
FICHANT,FICHER
FIDELISANT,FIDELISER
FIEFFE,FIEFFER
FILANT,FILER
FILTRANT,FILTRER
FINISSANT,FINIR
FISTULISANT,FISTULISER
FLAGELLANT,FLAGELLER
FLAGEOLANT,FLAGEOLER
FLAMBANT,FLAMBER
FLAMBOYANT,FLAMBOYER
FLECHISSANT,FLECHIR
FLETRISSANT,FLETRIR
FLEURISSANT,FLEURIR
FLIPPANT,FLIPPER
FLIPPE,FLIPPER
FLOTTANT,FLOTTER
FLUCTUANT,FLUCTUER
FLUIDIFIANT,FLUIDIFIER
FOCALISANT,FOCALISER
FOISONNANT,FOISONNER
FONDANT,FONDER
FONDANT,FONDRE
FORMALISANT,FORMALISER
FORMANT,FORMER
FORTIFIANT,FORTIFIER
FOUDROYANT,FOUDROYER
FOULANT,FOULER
FOURMILLANT,FOURMILLER
FOURVOYANT,FOURVOYER
FOUTU,FOUTRE
FRACASSANT,FRACASSER
FRAGILISANT,FRAGILISER
FRAICHISSANT,FRAICHIR
FRANCISANT,FRANCISER
FRANGEANT,FRANGER
FRAPPANT,FRAPPER
FREINANT,FREINER
FREMISSANT,FREMIR
FRETILLANT,FRETILLER
FRISANT,FRIRE
FRISANT,FRISER
FRISOTANT,FRISOTER
FRISOTTANT,FRISOTTER
FRISSONNANT,FRISSONNER
FROISSANT,FROISSER
FROTTANT,FROTTER
FROUFROUTANT,FROUFROUTER
FRUSTRANT,FRUSTRER
FUGUE,FUGUER
FULGURANT,FULGURER
FULMINANT,FULMINER
FUMANT,FUMER
FUSANT,FUSER
FUSIONNANT,FUSIONNER
FUYANT,FUIR
GAGNANT,GAGNER
GALBANT,GALBER
GALOPANT,GALOPER
GALVANISANT,GALVANISER
GAMBADANT,GAMBADER
GARANT,GARER
GAUCHISANT,GAUCHISER
GAZONNANT,GAZONNER
GAZOUILLANT,GAZOUILLER
GEIGNANT,GEINDRE
GELIFIANT,GELIFIER
GEMISSANT,GEMIR
GENANT,GENER
GENERALISANT,GENERALISER
GERBANT,GERBER
GERME,GERMER
GESTICULANT,GESTICULER
GESTICULE,GESTICULER
GIGOTANT,GIGOTER
GIGOTE,GIGOTER
GISANT,GESIR
GIVRANT,GIVRER
GLACANT,GLACER
GLANDE,GLANDER
GLAPISSANT,GLAPIR
GLISSANT,GLISSER
GLOBALISANT,GLOBALISER
GLORIFIANT,GLORIFIER
GLOUGLOUTANT,GLOUGLOUTER
GLOUSSANT,GLOUSSER
GODILLANT,GODILLER
GONDOLANT,GONDOLER
GONFLANT,GONFLER
GOUVERNANT,GOUVERNER
GRADUE,GRADUER
GRAISSANT,GRAISSER
GRANDISSANT,GRANDIR
GRASSEYANT,GRASSEYER
GRATIFIANT,GRATIFIER
GRATTANT,GRATTER
GRAVITANT,GRAVITER
GRECISANT,GRECISER
GRELOTANT,GRELOTER
GRELOTTANT,GRELOTTER
GRENOUILLANT,GRENOUILLER
GRESILLANT,GRESILLER
GRIMACANT,GRIMACER
GRIMPANT,GRIMPER
GRINCANT,GRINCER
GRISANT,GRISER
GRISONNANT,GRISONNER
GROGNANT,GROGNER
GRONDANT,GRONDER
GROSSISSANT,GROSSIR
GROUILLANT,GROUILLER
GUERISSANT,GUERIR
HALETANT,HALETER
HALLUCINANT,HALLUCINER
HANDICAPANT,HANDICAPER
HARASSANT,HARASSER
HARCELANT,HARCELER
HEBRAISANT,HEBRAISER
HELLENISANT,HELLENISER
HENNISSANT,HENNIR
HERBORISE,HERBORISER
HESITANT,HESITER
HIBERNANT,HIBERNER
HISPANISANT,HISPANISER
HISTORISANT,HISTORISER
HIVERNANT,HIVERNER
HOMOGENEISANT,HOMOGENEISER
HORRIFIANT,HORRIFIER
HORRIPILANT,HORRIPILER
HUMILIANT,HUMILIER
HURLANT,HURLER
HYDRATANT,HYDRATER
IDENTIFIANT,IDENTIFIER
IGNIFUGEANT,IGNIFUGER
IGNORANT,IGNORER
ILLUMINANT,ILLUMINER
IMMIGRANT,IMMIGRER
IMMUNISANT,IMMUNISER
IMPACTANT,IMPACTER
IMPATIENTANT,IMPATIENTER
IMPERMEABILISANT,IMPERMEABILISER
IMPLORANT,IMPLORER
IMPLOSE,IMPLOSER
IMPORTANT,IMPORTER
IMPOSANT,IMPOSER
IMPRESSIONNANT,IMPRESSIONNER
IMPRIMANT,IMPRIMER
INCITANT,INCITER
INCOMMODANT,INCOMMODER
INCRIMINANT,INCRIMINER
INCRUSTANT,INCRUSTER
INDIVIDUALISANT,INDIVIDUALISER
INFANTILISANT,INFANTILISER
INFATUE,INFATUER
INFECTANT,INFECTER
INFERIORISANT,INFERIORISER
INNOVANT,INNOVER
INQUIETANT,INQUIETER
INSCRIVANT,INSCRIRE
INSECURISANT,INSECURISER
INSINUANT,INSINUER
INSISTANT,INSISTER
INSONORISANT,INSONORISER
INSPIRANT,INSPIRER
INSTITUANT,INSTITUER
INSULTANT,INSULTER
INTEGRANT,INTEGRER
INTERAGISSANT,INTERAGIR
INTERESSANT,INTERESSER
INTERPELLANT,INTERPELLER
INTERPRETANT,INTERPRETER
INTERVENANT,INTERVENIR
INTIME,INTIMER
INTIMIDANT,INTIMIDER
INVALIDANT,INVALIDER
INVITANT,INVITER
IONISANT,IONISER
IRRADIANT,IRRADIER
IRRITANT,IRRITER
ISOLANT,ISOLER
ITALIANISANT,ITALIANISER
JACASSANT,JACASSER
JAILLISSANT,JAILLIR
JARGONNANT,JARGONNER
JAUNISSANT,JAUNIR
JOUISSANT,JOUIR
JUBILANT,JUBILER
JUDAISANT,JUDAISER
JUSTIFIANT,JUSTIFIER
JUXTAPOSANT,JUXTAPOSER
LACERANT,LACERER
LAMPANT,LAMPER
LANCINANT,LANCINER
LANGUISSANT,LANGUIR
LARMOYANT,LARMOYER
LASSANT,LASSER
LATINISANT,LATINISER
LAVANT,LAVER
LENIFIANT,LENIFIER
LESINANT,LESINER
LEVRETTE,LEVRETTER
LIANT,LIER
LIBERALISANT,LIBERALISER
LIGNIFIANT,LIGNIFIER
LIMITANT,LIMITER
LIQUEFIANT,LIQUEFIER
LISSANT,LISSER
LOBOTOMISANT,LOBOTOMISER
LOCALISANT,LOCALISER
LOUVOYANT,LOUVOYER
LUBRIFIANT,LUBRIFIER
LUISANT,LUIRE
LUSTRANT,LUSTRER
LYRE,LYRER
MAGNETISANT,MAGNETISER
MAJORANT,MAJORER
MALFAISANT,MALFAIRE
MALTRAITANT,MALTRAITER
MANQUANT,MANQUER
MARCHANT,MARCHER
MARMOTTANT,MARMOTTER
MARQUANT,MARQUER
MARRANT,MARRER
MARXISANT,MARXISER
MASCULINISANT,MASCULINISER
MASQUANT,MASQUER
MASSACRANT,MASSACRER
MATERNANT,MATERNER
MAUGREANT,MAUGREER
MECHANT,MECHER
MEDIATISANT,MEDIATISER
MEDICALISANT,MEDICALISER
MEDISANT,MEDIRE
MEDISANT,MEDISER
MEDITANT,MEDITER
MEDUSANT,MEDUSER
MEFIANT,MEFIER
MELANGEANT,MELANGER
MENACANT,MENACER
MENDIANT,MENDIER
MEPRISANT,MEPRISER
MEPRISE,MEPRISER
MERITANT,MERITER
MEUBLANT,MEUBLER
MEURTRISSANT,MEURTRIR
MIGRANT,MIGRER
MILITANT,MILITER
MINERALISANT,MINERALISER
MINIMISANT,MINIMISER
MINORANT,MINORER
MIROITANT,MIROITER
MIROITE,MIROITER
MOBILISANT,MOBILISER
MODELANT,MODELER
MODIFIANT,MODIFIER
MODULANT,MODULER
MONOPOLISANT,MONOPOLISER
MONTANT,MONTER
MORALISANT,MORALISER
MORDANT,MORDRE
MORFONDU,MORFONDRE
MORTIFIANT,MORTIFIER
MOTIVANT,MOTIVER
MOUILLANT,MOUILLER
MOULANT,MOUDRE
MOULANT,MOULER
MOURANT,MOURIR
MOUSSANT,MOUSSER
MOUTONNANT,MOUTONNER
MOUTONNE,MOUTONNER
MOUVANT,MOUVER
MOUVANT,MOUVOIR
MUGISSANT,MUGIR
MURI,MURIR
MURISSANT,MURIR
MURMURANT,MURMURER
MUTANT,MUTER
MUTILANT,MUTILER
MYSTIFIANT,MYSTIFIER
NAISSANT,NAITRE
NAUFRAGE,NAUFRAGER
NAVRANT,NAVRER
NECESSITANT,NECESSITER
NECROSANT,NECROSER
NETTOYANT,NETTOYER
NEUTRALISANT,NEUTRALISER
NITRIFIANT,NITRIFIER
NOIRCISSANT,NOIRCIR
NOMINANT,NOMINER
NORME,NORMER
NOURRISSANT,NOURRIR
OBEISSANT,OBEIR
OBLIGEANT,OBLIGER
OBLITERANT,OBLITERER
OBSEDANT,OBSEDER
OBSERVANT,OBSERVER
OCCUPANT,OCCUPER
OFFENSANT,OFFENSER
OFFICIANT,OFFICIER
OFFRANT,OFFRIR
ONDOYANT,ONDOYER
ONDULANT,ONDULER
OPACIFIANT,OPACIFIER
OPERANT,OPERER
OPINANT,OPINER
OPPOSANT,OPPOSER
OPPRESSANT,OPPRESSER
OPPRIMANT,OPPRIMER
OSCILLANT,OSCILLER
OUTRAGEANT,OUTRAGER
OUVRANT,OUVRER
OUVRANT,OUVRIR
OVULE,OVULER
OXYDANT,OXYDER
OZONE,OZONER
PACIFIANT,PACIFIER
PALISSANT,PALIR
PALPITANT,PALPITER
PANIQUANT,PANIQUER
PANTELANT,PANTELER
PAPILLONNANT,PAPILLONNER
PAPILLOTANT,PAPILLOTER
PARALYSANT,PARALYSER
PARDONNANT,PARDONNER
PARLANT,PARLER
PARTANT,PARTIR
PARTICIPANT,PARTICIPER
PASSANT,PASSER
PASSIONNANT,PASSIONNER
PATOISANT,PATOISER
PAYANT,PAYER
PELUCHE,PELUCHER
PENALISANT,PENALISER
PENCHANT,PENCHER
PENDANT,PENDRE
PENETRANT,PENETRER
PENSANT,PENSER
PEPIANT,PEPIER
PERCANT,PERCER
PERCUTANT,PERCUTER
PERDANT,PERDRE
PERFORANT,PERFORER
PERFORMANT,PERFORMER
PERI,PERIR
PERICLITANT,PERICLITER
PERQUISITIONNE,PERQUISITIONNER
PERSECUTANT,PERSECUTER
